StichtagDatJahr,DatenstandCd,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2023,P,23635,50,50- bis 59-Jährige,6,2,weiblich,2,7,Kreis 7,7,71,Fluntern,71,Border Collie,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2020,2,2-Jährige,2,2,weiblich,2,braun/weiss,1
2023,P,23759,50,50- bis 59-Jährige,6,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Zwergpudel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2020,2,2-Jährige,2,1,männlich,1,weiss,1
2023,P,23889,70,70- bis 79-Jährige,8,2,weiblich,2,4,Kreis 4,4,42,Langstrasse,42,Pudel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2012,10,10-Jährige,10,1,männlich,1,braun,1
2023,P,24041,50,50- bis 59-Jährige,6,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Bergamasker,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2019,3,3-Jährige,3,2,weiblich,2,schwarz/weiss,1
2023,P,24246,60,60- bis 69-Jährige,7,1,männlich,1,10,Kreis 10,10,102,Wipkingen,102,Samojede,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2018,4,4-Jährige,4,2,weiblich,2,weiss,1
2023,P,54322,70,70- bis 79-Jährige,8,1,männlich,1,3,Kreis 3,3,33,Friesenberg,33,Lagotto Romagnolo,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2009,13,13-Jährige,13,1,männlich,1,weiss/orange,1
2023,P,55176,80,80- bis 89-Jährige,9,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Dobermann,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2016,6,6-Jährige,6,1,männlich,1,schwarz/braun,1
2023,P,55693,70,70- bis 79-Jährige,8,2,weiblich,2,11,Kreis 11,11,119,Seebach,119,Chihuahua,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,2,weiblich,2,braun/weiss,1
2023,P,55835,70,70- bis 79-Jährige,8,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Lagotto Romagnolo,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2009,13,13-Jährige,13,1,männlich,1,marronschimmel,1
2023,P,60402,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,111,Affoltern,111,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2013,9,9-Jährige,9,1,männlich,1,dunkelbraun,1
2023,P,61323,70,70- bis 79-Jährige,8,1,männlich,1,8,Kreis 8,8,81,Seefeld,81,Mudi,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2010,12,12-Jährige,12,1,männlich,1,blondfarben,1
2023,P,63468,80,80- bis 89-Jährige,9,1,männlich,1,7,Kreis 7,7,74,Witikon,74,Pekingese,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2012,10,10-Jährige,10,1,männlich,1,schwarz/weiss,1
2023,P,63704,70,70- bis 79-Jährige,8,1,männlich,1,10,Kreis 10,10,101,Höngg,101,Dachshund,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2012,10,10-Jährige,10,2,weiblich,2,saufarben,1
2023,P,64605,60,60- bis 69-Jährige,7,1,männlich,1,10,Kreis 10,10,101,Höngg,101,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2017,5,5-Jährige,5,2,weiblich,2,schwarz/weiss,1
2023,P,64727,50,50- bis 59-Jährige,6,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Appenzeller Sennenhund,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2016,6,6-Jährige,6,1,männlich,1,tricolor,1
2023,P,65665,60,60- bis 69-Jährige,7,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Mops,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2019,3,3-Jährige,3,1,männlich,1,beige/schwarz,1
2023,P,65681,50,50- bis 59-Jährige,6,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Italienisches Windspiel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,1,männlich,1,blau,1
2023,P,65758,50,50- bis 59-Jährige,6,2,weiblich,2,7,Kreis 7,7,71,Fluntern,71,Yorkshire Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2007,15,15-Jährige,15,1,männlich,1,black/tan,1
2023,P,65794,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Lagotto Romagnolo,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2017,5,5-Jährige,5,1,männlich,1,braun/weiss,1
2023,P,65940,50,50- bis 59-Jährige,6,2,weiblich,2,8,Kreis 8,8,81,Seefeld,81,Berner Sennenhund,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2020,2,2-Jährige,2,2,weiblich,2,schwarz/braun/weiss,1
2023,P,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,Cocker Spaniel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2018,4,4-Jährige,4,1,männlich,1,hellbraun/weiss,1
2023,P,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,English Cocker Spaniel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2021,1,1-Jährige,1,1,männlich,1,braun schimmel,1
2023,P,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,English Cocker Spaniel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2022,0,0-Jährige,0,1,männlich,1,blue/tan,1
2023,P,66151,60,60- bis 69-Jährige,7,1,männlich,1,11,Kreis 11,11,115,Oerlikon,115,Deutscher Schäfer,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2008,14,14-Jährige,14,2,weiblich,2,schwarz/braun/weiss,1
2023,P,66298,50,50- bis 59-Jährige,6,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Magyar Viszla,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2010,12,12-Jährige,12,1,männlich,1,gelb,1
2023,P,66323,60,60- bis 69-Jährige,7,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2017,5,5-Jährige,5,1,männlich,1,braun,1
2023,P,66515,70,70- bis 79-Jährige,8,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Labrador Retriever,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2011,11,11-Jährige,11,2,weiblich,2,braun,1
2023,P,66589,40,40- bis 49-Jährige,5,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Deutscher Wachtelhund,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2021,1,1-Jährige,1,2,weiblich,2,braun schimmel,1
2023,P,66670,50,50- bis 59-Jährige,6,1,männlich,1,4,Kreis 4,4,42,Langstrasse,42,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2020,2,2-Jährige,2,2,weiblich,2,schwarz,1
2023,P,66757,50,50- bis 59-Jährige,6,2,weiblich,2,1,Kreis 1,1,14,City,14,Spinone,Dachshund,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2020,2,2-Jährige,2,2,weiblich,2,zimt,1
2023,P,66800,50,50- bis 59-Jährige,6,2,weiblich,2,2,Kreis 2,2,24,Enge,24,Zwergspitz,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2020,2,2-Jährige,2,1,männlich,1,creme,1
2023,P,66869,60,60- bis 69-Jährige,7,2,weiblich,2,2,Kreis 2,2,24,Enge,24,Havaneser,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2015,7,7-Jährige,7,1,männlich,1,braun/rot,1
2023,P,67001,50,50- bis 59-Jährige,6,2,weiblich,2,3,Kreis 3,3,34,Sihlfeld,34,Mops,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2013,9,9-Jährige,9,1,männlich,1,beige,1
2023,P,67018,80,80- bis 89-Jährige,9,2,weiblich,2,6,Kreis 6,6,61,Unterstrass,61,Labrador Retriever,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2012,10,10-Jährige,10,1,männlich,1,beige,1
2023,P,67125,60,60- bis 69-Jährige,7,1,männlich,1,7,Kreis 7,7,74,Witikon,74,Rhodesian Ridgeback,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2017,5,5-Jährige,5,1,männlich,1,blue/tan,1
2023,P,67135,40,40- bis 49-Jährige,5,1,männlich,1,6,Kreis 6,6,61,Unterstrass,61,Jack Russel Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2017,5,5-Jährige,5,2,weiblich,2,tricolor,1
2023,P,67209,40,40- bis 49-Jährige,5,2,weiblich,2,7,Kreis 7,7,73,Hirslanden,73,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2022,0,0-Jährige,0,1,männlich,1,schwarz/weiss,1
2023,P,67272,40,40- bis 49-Jährige,5,2,weiblich,2,3,Kreis 3,3,33,Friesenberg,33,Beagle,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2017,5,5-Jährige,5,2,weiblich,2,tricolor,1
2023,P,67281,30,30- bis 39-Jährige,4,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Zwergpudel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2022,0,0-Jährige,0,1,männlich,1,creme,1
2023,P,70115,50,50- bis 59-Jährige,6,2,weiblich,2,3,Kreis 3,3,31,Alt-Wiedikon,31,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2016,6,6-Jährige,6,1,männlich,1,schwarz/weiss,1
2023,P,70152,70,70- bis 79-Jährige,8,1,männlich,1,8,Kreis 8,8,82,Mühlebach,82,Bayerischer Gebirgsschweisshund,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2018,4,4-Jährige,4,2,weiblich,2,schwarz,1
2023,P,70176,50,50- bis 59-Jährige,6,2,weiblich,2,10,Kreis 10,10,101,Höngg,101,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2012,10,10-Jährige,10,2,weiblich,2,weiss,1
2023,P,70577,60,60- bis 69-Jährige,7,2,weiblich,2,3,Kreis 3,3,34,Sihlfeld,34,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2014,8,8-Jährige,8,2,weiblich,2,blondfarben,1
2023,P,70644,40,40- bis 49-Jährige,5,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Bulldog,Deutscher Schäferhund,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2016,6,6-Jährige,6,2,weiblich,2,schwarz,1
